,daily_views
2011-12-26,144
2011-12-27,297
2011-12-28,319
2011-12-29,340
2011-12-30,340
2011-12-31,233
2012-01-01,196
2012-01-02,299
2012-01-03,363
2012-01-04,386
2012-01-05,430
2012-01-06,383
2012-01-07,257
2012-01-08,241
2012-01-09,398
2012-01-10,478
2012-01-11,477
2012-01-12,490
2012-01-13,418
2012-01-14,311
2012-01-15,264
2012-01-16,414
2012-01-17,442
2012-01-18,426
2012-01-19,416
2012-01-20,391
2012-01-21,301
2012-01-22,291
2012-01-23,403
2012-01-24,468
2012-01-25,450
2012-01-26,500
2012-01-27,418
2012-01-28,264
2012-01-29,287
2012-01-30,467
2012-01-31,434
2012-02-01,450
2012-02-02,458
2012-02-03,388
2012-02-04,271
2012-02-05,292
2012-02-06,465
2012-02-07,476
2012-02-08,467
2012-02-09,474
2012-02-10,371
2012-02-11,257
2012-02-12,261
2012-02-13,478
2012-02-14,437
2012-02-15,475
2012-02-16,464
2012-02-17,429
2012-02-18,250
2012-02-19,315
2012-02-20,420
2012-02-21,457
2012-02-22,461
2012-02-23,449
2012-02-24,423
2012-02-25,268
2012-02-26,340
2012-02-27,461
2012-02-28,561
2012-02-29,440
2012-02-30,74
2012-02-31,74
2012-03-01,415
2012-03-02,401
2012-03-03,273
2012-03-04,264
2012-03-05,450
2012-03-06,459
2012-03-07,493
2012-03-08,470
2012-03-09,390
2012-03-10,282
2012-03-11,288
2012-03-12,439
2012-03-13,493
2012-03-14,389
2012-03-15,449
2012-03-16,427
2012-03-17,239
2012-03-18,271
2012-03-19,435
2012-03-20,420
2012-03-21,394
2012-03-22,375
